Source-Destination Pair,Total Data (bytes)
172.16.133.67:51318 -> 216.115.217.144:443,1365
172.16.133.87:60116 -> 172.16.139.250:5440,126
64.94.107.11:80 -> 172.16.133.29:60797,60
172.16.133.132:52333 -> 98.139.240.23:80,856
172.16.133.29:60794 -> 206.33.41.253:80,60
216.115.208.199:443 -> 172.16.133.35:49522,242
172.16.133.35:49910 -> 172.16.139.250:5440,180
216.115.217.210:443 -> 172.16.133.118:57946,1284
172.16.133.57:59182 -> 64.74.80.185:443,3034
76.13.6.174:80 -> 172.16.133.132:50405,66
172.16.133.116:53124 -> 172.16.139.250:5440,60
172.16.133.116:53125 -> 172.16.139.250:5440,120
172.16.133.116:53126 -> 172.16.139.250:5440,180
172.16.133.84:58730 -> 172.16.139.250:5440,391
98.139.240.23:80 -> 172.16.133.132:52333,60
138.108.7.20:80 -> 172.16.133.29:60800,60
96.43.146.176:443 -> 172.16.133.50:50638,7085
172.16.133.85:51035 -> 68.64.29.28:1853,40080
67.228.168.221:80 -> 172.16.133.126:57660,360
172.16.133.56:49600 -> 172.16.139.250:5500,18142
172.16.133.48:49219 -> 23.21.122.20:5222,211
172.16.133.63:49228 -> 23.21.62.199:5222,451
172.16.133.163:1121 -> 23.21.62.199:5222,308
172.16.133.49:55705 -> 172.16.139.250:5440,60
157.56.232.214:443 -> 172.16.133.121:53745,240
67.228.168.221:80 -> 172.16.133.126:57848,300
8.8.8.8:53 -> 172.16.133.6:58363,223
172.16.133.95:56883 -> 172.16.139.250:5440,120
98.138.19.88:80 -> 172.16.133.132:44310,66
172.16.133.92:57611 -> 172.16.139.250:5440,66
172.16.133.56:60847 -> 67.217.65.54:443,2358
172.16.133.57:59155 -> 184.73.255.87:5222,198
172.16.133.78:49608 -> 68.33.218.83:45301,294
172.16.128.169:3533 -> 172.16.133.252:161,117
172.16.133.120:52113 -> 96.43.146.164:443,3578
172.16.133.29:60817 -> 172.16.139.250:5440,60
172.16.133.132:38640 -> 98.139.134.187:80,132
67.69.196.212:1935 -> 172.16.133.93:60584,64
67.217.64.54:443 -> 172.16.133.56:60850,2244
67.217.65.54:443 -> 172.16.133.56:60847,1911
216.185.152.111:80 -> 172.16.133.132:54613,1380
172.16.133.132:54613 -> 216.185.152.111:80,630
172.16.133.207:55873 -> 172.16.139.250:5440,180
172.16.133.83:57022 -> 172.16.139.250:5440,186
157.56.234.118:443 -> 172.16.133.53:59079,6265
96.43.146.164:443 -> 172.16.133.120:52113,14120
172.16.133.66:58182 -> 74.125.226.214:443,4877
172.16.133.93:60598 -> 172.16.139.250:5440,60
216.219.115.163:443 -> 172.16.133.118:58124,2002
172.16.133.11:55080 -> 172.16.139.250:5440,120
172.16.133.55:57518 -> 172.16.139.250:5440,265
172.16.128.15:57460 -> 172.16.139.250:3389,1800
172.16.128.233:55208 -> 172.16.133.233:22,800
172.16.133.73:60504 -> 172.16.139.250:5440,60
96.43.146.48:443 -> 172.16.133.116:52395,82945
172.16.133.30:62550 -> 172.16.139.250:5440,60
172.16.133.57:59178 -> 216.115.208.199:443,11782
172.16.133.53:54038 -> 172.16.139.250:5440,60
172.16.133.34:50378 -> 172.16.139.250:5440,325
172.16.133.25:63343 -> 172.16.139.250:5440,60
172.16.133.132:44315 -> 98.138.19.88:80,206
172.16.133.97:59309 -> 172.16.139.250:5440,60
172.16.133.36:65069 -> 68.64.24.250:443,60
67.217.94.156:8200 -> 172.16.133.53:55702,5464
184.73.235.12:5222 -> 172.16.133.96:52662,1680
172.16.133.37:60482 -> 216.219.115.183:443,1790
8.8.8.8:53 -> 172.16.133.6:65481,231
204.232.250.57:443 -> 172.16.133.24:57665,60
172.16.133.56:56237 -> 208.92.54.5:80,8898
172.16.133.33:57818 -> 172.16.139.250:5440,325
172.16.133.109:49454 -> 96.43.146.22:443,74
172.16.133.53:59079 -> 157.56.234.118:443,420
216.219.115.250:443 -> 172.16.133.20:62288,60
98.139.240.23:80 -> 172.16.133.132:52338,120
