Source-Destination Pair,Total Data (bytes)
172.16.133.28:49200 -> 208.111.160.6:80,66
172.16.133.28:49201 -> 172.16.139.250:5440,60
208.47.254.49:80 -> 172.16.133.54:64827,66
172.16.133.54:64827 -> 208.47.254.49:80,884
172.16.133.28:49189 -> 23.62.193.244:80,120
172.16.133.28:49190 -> 23.62.193.244:80,60
67.221.174.61:443 -> 172.16.133.114:52593,60
172.16.133.30:62741 -> 172.16.139.250:5440,265
172.16.133.93:60845 -> 199.48.206.68:443,66
172.16.133.87:60322 -> 172.16.139.250:5440,517
172.16.133.116:53634 -> 172.16.139.250:5440,590
172.16.133.35:50062 -> 172.16.139.250:5440,60
172.16.133.116:53636 -> 172.16.139.250:5440,60
172.16.133.45:61369 -> 64.90.204.229:443,60
172.16.133.84:58890 -> 172.16.139.250:5440,120
208.111.160.6:80 -> 172.16.133.28:49197,66
172.16.133.26:53044 -> 54.235.187.196:443,440
172.16.133.49:55882 -> 172.16.139.250:5440,60
50.16.211.32:8080 -> 172.16.133.18:49388,206
172.16.133.95:57056 -> 172.16.139.250:5440,60
198.61.152.151:443 -> 172.16.133.30:62740,1494
172.16.133.92:57770 -> 172.16.139.250:5440,306
172.16.133.44:64924 -> 172.16.139.250:5440,265
172.16.133.29:61042 -> 172.16.139.250:5440,265
172.16.133.207:56020 -> 172.16.139.250:5440,60
172.16.133.83:57178 -> 172.16.139.250:5440,325
172.16.133.93:60847 -> 172.16.139.250:5440,60
172.16.133.11:55237 -> 172.16.139.250:5440,397
172.16.133.55:57720 -> 172.16.139.250:5440,60
172.16.125.220:40239 -> 172.16.133.233:33436,60
172.16.133.73:60779 -> 172.16.139.250:5440,60
172.16.133.234:49151 -> 172.16.139.241:65088,106
172.16.133.21:53281 -> 172.16.139.250:5440,252
172.16.133.30:62742 -> 172.16.139.250:5440,120
172.16.133.234:49151 -> 108.59.243.196:65091,106
172.16.133.25:63576 -> 172.16.139.250:5440,445
172.16.133.30:62740 -> 198.61.152.151:443,971
172.16.133.97:59481 -> 172.16.139.250:5440,66
172.16.133.120:49166 -> 50.16.211.32:8080,816
172.16.133.33:57990 -> 172.16.139.250:5440,60
172.16.133.68:60847 -> 172.16.139.250:5440,60
172.16.133.12:59869 -> 172.16.139.250:5440,265
172.16.133.153:47843 -> 64.17.236.31:80,796
172.16.133.63:53976 -> 172.16.139.250:5440,60
172.16.133.82:61502 -> 172.16.139.250:5440,60
172.16.133.28:49203 -> 64.94.107.62:80,1347
64.17.236.31:80 -> 172.16.133.153:47843,12112
172.16.133.42:55080 -> 157.56.236.102:443,299
172.16.133.67:56087 -> 172.16.139.250:5440,60
172.16.133.42:57213 -> 172.16.139.250:5440,325
172.16.133.41:53235 -> 172.16.139.250:5440,120
172.16.133.153:55643 -> 23.33.83.78:80,206
198.61.152.151:80 -> 172.16.133.30:62738,514
172.16.133.113:55655 -> 172.16.139.250:5462,102
172.16.133.43:57870 -> 172.16.139.250:5440,325
172.16.133.54:64831 -> 204.11.109.61:80,719
172.16.133.13:53127 -> 172.16.139.250:5440,530
172.16.133.54:64830 -> 108.170.196.147:80,1474
96.43.146.176:443 -> 172.16.133.21:60004,509
23.33.83.78:80 -> 172.16.133.153:55643,7570
172.16.133.20:62501 -> 172.16.139.250:5440,60
172.16.133.75:51066 -> 172.16.139.250:5440,265
172.16.133.153:60629 -> 23.33.83.78:80,470
172.16.133.99:56148 -> 172.16.139.250:5440,120
172.16.133.25:61589 -> 74.125.226.195:443,1544
172.16.133.116:53637 -> 172.16.139.250:5440,66
172.16.133.35:50063 -> 172.16.139.250:5440,186
172.16.133.116:53639 -> 172.16.139.250:5440,60
172.16.133.84:58891 -> 172.16.139.250:5440,391
184.73.225.104:443 -> 172.16.133.11:55238,1580
172.16.133.54:64744 -> 65.54.81.133:80,60
23.33.83.78:80 -> 172.16.133.153:60629,9084
172.16.133.30:62738 -> 198.61.152.151:80,60
172.16.133.49:55883 -> 172.16.139.250:5440,60
172.16.133.11:55238 -> 184.73.225.104:443,496
172.16.133.242:161 -> 172.16.128.169:4588,123
172.16.133.54:55506 -> 172.16.128.202:53,72
172.16.133.248:161 -> 172.16.128.169:4585,130
172.16.133.92:57771 -> 172.16.139.250:5440,60
172.16.133.54:64835 -> 107.21.255.53:80,60
172.16.133.29:61043 -> 172.16.139.250:5440,300
172.16.133.44:64925 -> 172.16.139.250:5440,325
172.16.133.28:49188 -> 216.52.242.80:80,1864
172.16.133.207:56021 -> 172.16.139.250:5440,590
172.16.133.83:57179 -> 172.16.139.250:5440,126
172.16.133.93:60848 -> 172.16.139.250:5440,126
172.16.133.55:57721 -> 172.16.139.250:5440,60
172.16.133.153:58322 -> 205.153.84.114:80,60
172.16.133.73:60780 -> 172.16.139.250:5440,252
172.16.133.11:55239 -> 172.16.139.250:5440,60
172.16.133.21:53282 -> 172.16.139.250:5440,60
172.16.133.53:54207 -> 172.16.139.250:5440,60
172.16.133.25:63577 -> 172.16.139.250:5440,325
172.16.133.30:62743 -> 172.16.139.250:5440,60
172.16.133.34:50530 -> 172.16.139.250:5440,126
172.16.133.97:59482 -> 172.16.139.250:5440,60
172.16.133.11:55240 -> 157.56.244.217:443,66
172.16.133.33:57991 -> 172.16.139.250:5440,120
172.16.133.68:60848 -> 172.16.139.250:5440,265
172.16.133.63:53977 -> 172.16.139.250:5440,66
184.84.3.78:80 -> 172.16.133.153:58259,24666
172.16.133.66:53995 -> 172.16.139.250:5440,325
216.52.242.80:80 -> 172.16.133.28:49188,18284
172.16.133.39:63486 -> 173.194.43.46:443,120
172.16.133.153:58259 -> 184.84.3.78:80,396
173.194.43.46:443 -> 172.16.133.39:63486,66
172.16.133.23:55006 -> 173.194.43.32:443,60
172.16.133.128:65053 -> 216.115.222.200:443,60
172.16.133.30:62744 -> 216.221.224.26:80,186
172.16.133.54:64758 -> 54.240.160.30:80,66
172.16.133.56:61523 -> 172.16.139.250:5440,126
172.16.133.128:65055 -> 216.219.112.250:443,60
68.64.24.250:443 -> 172.16.133.99:56149,60
172.16.133.41:53236 -> 172.16.139.250:5440,331
172.16.133.120:53443 -> 96.43.146.176:443,60
172.16.133.42:57214 -> 172.16.139.250:5440,192
64.90.204.229:443 -> 172.16.133.45:61369,60
66.151.158.187:443 -> 172.16.133.128:65056,60
172.16.133.128:65056 -> 66.151.158.187:443,60
172.16.133.85:52364 -> 172.16.139.250:5440,120
96.43.146.176:443 -> 172.16.133.120:53444,60
172.16.133.13:53128 -> 172.16.139.250:5440,60
172.16.133.27:60919 -> 173.194.43.47:80,66
172.16.133.20:62502 -> 172.16.139.250:5440,60
172.16.133.44:64421 -> 96.43.146.22:443,1122
172.16.133.54:64782 -> 69.172.216.156:80,60
172.16.133.35:50064 -> 172.16.139.250:5440,186
172.16.133.87:60324 -> 172.16.139.250:5440,325
172.16.133.116:53640 -> 172.16.139.250:5440,126
216.219.118.244:443 -> 172.16.133.99:56150,60
172.16.133.99:56150 -> 216.219.118.244:443,60
96.43.148.26:80 -> 172.16.133.54:64785,60
172.16.133.54:64773 -> 54.240.160.238:80,60
172.16.133.54:64776 -> 54.240.160.238:80,60
172.16.133.116:53641 -> 172.16.139.250:5440,66
172.16.133.132:58037 -> 23.61.31.139:80,528
172.16.133.116:53642 -> 172.16.139.250:5440,126
172.16.133.84:58892 -> 172.16.139.250:5440,265
172.16.133.60:55331 -> 157.56.241.150:443,180
202.173.24.200:443 -> 172.16.133.128:65054,60
216.52.242.80:80 -> 172.16.133.75:50648,60
23.61.31.139:80 -> 172.16.133.132:58037,4542
172.16.133.49:55884 -> 172.16.139.250:5440,60
172.16.133.29:61045 -> 208.111.161.254:80,66
172.16.133.254:161 -> 172.16.128.169:4618,123
172.16.133.95:57058 -> 199.59.148.247:80,60
208.47.254.81:80 -> 172.16.133.29:61044,66
172.16.133.95:57059 -> 172.16.139.250:5440,60
208.111.161.254:80 -> 172.16.133.29:61048,66
172.16.133.29:61047 -> 208.111.161.254:80,60
172.16.133.29:61051 -> 23.0.49.244:80,60
172.16.133.29:61049 -> 208.111.161.254:80,60
172.16.133.29:61053 -> 172.16.139.250:5440,650
208.111.161.254:80 -> 172.16.133.29:61047,120
157.56.241.150:443 -> 172.16.133.60:55315,1380
172.16.133.54:64840 -> 63.146.126.10:80,360
172.16.133.83:57180 -> 172.16.139.250:5440,265
172.16.133.93:60849 -> 172.16.139.250:5440,126
172.16.133.11:55241 -> 172.16.139.250:5440,385
172.16.133.55:57722 -> 172.16.139.250:5440,120
208.111.160.6:80 -> 172.16.133.28:49195,1434
172.16.133.73:60781 -> 172.16.139.250:5440,66
172.16.133.53:54208 -> 172.16.139.250:5440,265
172.16.133.21:53283 -> 172.16.139.250:5440,265
172.16.133.28:49198 -> 208.111.160.6:80,800
96.43.146.22:443 -> 172.16.133.82:60947,60
172.16.133.75:57919 -> 172.16.139.250:5447,278
172.16.133.29:61055 -> 23.62.193.244:80,66
172.16.133.34:50531 -> 172.16.139.250:5440,60
216.221.224.26:80 -> 172.16.133.30:62744,13026
172.16.133.60:55315 -> 157.56.241.150:443,30599
172.16.133.29:60108 -> 23.33.81.244:80,2275
172.16.133.33:57992 -> 172.16.139.250:5440,60
208.111.160.6:80 -> 172.16.133.28:49199,386
172.16.133.66:53996 -> 172.16.139.250:5440,60
172.16.133.82:61504 -> 172.16.139.250:5440,120
23.62.193.244:80 -> 172.16.133.29:61055,2553
172.16.133.37:60715 -> 172.16.139.250:5440,186
172.16.133.12:59871 -> 172.16.139.250:5440,60
12.130.48.51:80 -> 172.16.133.54:64648,6056
172.16.133.54:64843 -> 12.130.48.51:80,126
172.16.133.29:61057 -> 64.94.107.11:80,66
12.130.48.51:80 -> 172.16.133.54:64844,777
172.16.133.78:59320 -> 172.16.139.250:5440,325
172.16.133.54:64557 -> 173.194.75.104:80,1484
172.16.133.67:56089 -> 172.16.139.250:5440,180
172.16.133.54:64849 -> 173.194.43.45:80,126
172.16.133.56:61524 -> 172.16.139.250:5440,120
12.130.48.51:80 -> 172.16.133.54:64843,127
172.16.133.54:64848 -> 173.194.43.45:80,60
172.16.133.54:64847 -> 173.194.43.45:80,494
172.16.133.28:49211 -> 64.94.107.62:80,129
172.16.133.41:53237 -> 172.16.139.250:5440,530
173.194.43.45:80 -> 172.16.133.54:64848,1522
172.16.133.84:58886 -> 64.90.204.229:443,60
172.16.133.43:57872 -> 172.16.139.250:5440,325
172.16.133.13:53129 -> 172.16.139.250:5440,60
172.16.133.20:62503 -> 172.16.139.250:5440,120
172.16.133.54:64844 -> 12.130.48.51:80,60
173.194.75.103:80 -> 172.16.133.41:52468,66
172.16.133.75:51068 -> 172.16.139.250:5440,60
172.16.133.28:49212 -> 172.16.139.250:5440,120
172.16.133.54:64791 -> 208.47.254.57:80,120
172.16.133.87:60325 -> 172.16.139.250:5440,126
208.47.254.57:80 -> 172.16.133.54:64791,60
172.16.133.35:50065 -> 172.16.139.250:5440,66
172.16.133.116:53645 -> 172.16.139.250:5440,186
172.16.133.116:53646 -> 172.16.139.250:5440,66
172.16.133.116:53647 -> 172.16.139.250:5440,180
172.16.133.84:58893 -> 172.16.139.250:5440,66
172.16.133.116:53648 -> 208.111.161.254:80,66
208.111.161.254:80 -> 172.16.133.116:53648,126
172.16.133.54:64850 -> 173.194.43.45:80,60
172.16.133.49:55885 -> 172.16.139.250:5440,265
172.16.133.95:57060 -> 172.16.139.250:5440,66
8.8.8.8:53 -> 172.16.133.6:49776,146
157.166.240.13:80 -> 172.16.133.57:60628,140
172.16.133.92:57773 -> 172.16.139.250:5440,60
172.16.133.29:61058 -> 172.16.139.250:5440,60
172.16.133.83:57181 -> 172.16.139.250:5440,325
172.16.133.93:60850 -> 172.16.139.250:5440,126
63.146.126.10:80 -> 172.16.133.54:64840,1514
172.16.133.55:57723 -> 172.16.139.250:5440,325
172.16.133.116:53650 -> 64.94.107.62:80,66
172.16.133.57:60571 -> 157.166.255.246:80,1294
216.52.121.177:80 -> 172.16.133.54:64810,60
172.16.133.73:60782 -> 172.16.139.250:5440,325
172.16.133.53:54209 -> 172.16.139.250:5440,391
172.16.133.30:62746 -> 172.16.139.250:5440,60
172.16.133.34:50532 -> 172.16.139.250:5440,120
172.16.133.97:59484 -> 172.16.139.250:5440,180
8.8.8.8:53 -> 172.16.133.6:58303,171
172.16.133.57:60629 -> 157.166.255.245:80,78
157.166.255.245:80 -> 172.16.133.57:60629,1224
172.16.133.33:57993 -> 172.16.139.250:5440,397
172.16.133.109:49151 -> 68.87.152.185:64650,1514
172.16.133.109:49151 -> 68.87.152.185:64651,1506
8.8.8.8:53 -> 172.16.133.6:63403,235
172.16.133.12:59872 -> 172.16.139.250:5440,60
172.16.133.63:53979 -> 172.16.139.250:5440,517
172.16.133.126:61916 -> 204.14.233.101:443,120
172.16.133.66:53997 -> 172.16.139.250:5440,186
172.16.133.132:48934 -> 157.56.134.97:80,132
172.16.133.132:48933 -> 157.56.134.97:80,385
74.122.143.24:80 -> 172.16.133.132:34650,144
172.16.133.132:34650 -> 74.122.143.24:80,132
172.16.133.82:61505 -> 172.16.139.250:5440,385
138.108.7.20:80 -> 172.16.133.116:53649,472
172.16.133.132:41043 -> 199.27.208.20:80,540
172.16.133.37:60716 -> 172.16.139.250:5440,120
67.202.66.161:80 -> 172.16.133.132:50110,70
199.27.208.20:80 -> 172.16.133.132:41039,10532
199.27.208.20:80 -> 172.16.133.132:41042,17028
172.16.133.57:60630 -> 8.27.253.125:80,745
23.61.18.110:443 -> 172.16.133.121:56574,141
172.16.133.132:41041 -> 199.27.208.20:80,420
172.16.133.78:59321 -> 172.16.139.250:5440,246
199.47.218.150:80 -> 172.16.133.48:49232,466
172.16.133.128:65057 -> 216.115.222.200:443,66
172.16.133.67:56090 -> 172.16.139.250:5440,60
23.13.210.227:80 -> 172.16.133.132:46280,74
172.16.133.56:61525 -> 172.16.139.250:5440,132
8.27.253.125:80 -> 172.16.133.57:60630,1294
70.42.13.100:80 -> 172.16.133.132:51034,1140
172.16.133.132:46280 -> 23.13.210.227:80,66
8.18.45.80:80 -> 172.16.133.54:64454,1068
216.219.112.250:443 -> 172.16.133.128:65059,60
172.16.133.54:64853 -> 108.170.193.53:80,598
172.16.133.54:64854 -> 108.170.193.53:80,1594
172.16.133.54:64855 -> 108.170.193.53:80,60
172.16.133.54:64858 -> 108.170.193.53:80,538
172.16.133.42:57216 -> 172.16.139.250:5440,325
172.16.133.13:53130 -> 172.16.139.250:5440,192
108.170.193.53:80 -> 172.16.133.54:64856,60
108.170.193.53:80 -> 172.16.133.54:64857,60
108.170.193.53:80 -> 172.16.133.54:64855,1365
66.151.158.187:443 -> 172.16.133.128:65058,60
172.16.133.128:65058 -> 66.151.158.187:443,60
173.194.43.56:443 -> 172.16.133.36:65008,107
172.16.133.20:62504 -> 172.16.139.250:5440,66
108.161.187.32:80 -> 172.16.133.54:64866,66
172.16.133.36:65008 -> 173.194.43.56:443,66
172.16.133.54:64869 -> 209.190.70.254:80,1652
172.16.133.75:51069 -> 172.16.139.250:5440,265
172.16.133.28:49213 -> 172.16.139.250:5440,132
108.161.187.32:80 -> 172.16.133.54:64867,1073
108.170.193.53:80 -> 172.16.133.54:64863,1371
172.16.133.54:64859 -> 108.170.193.53:80,1534
172.16.133.54:64863 -> 108.170.193.53:80,1534
108.170.193.53:80 -> 172.16.133.54:64858,60
98.138.49.43:80 -> 172.16.133.132:47979,3331
172.16.133.99:56157 -> 172.16.139.250:5440,325
204.14.233.101:443 -> 172.16.133.126:61916,60
216.38.163.167:80 -> 172.16.133.132:39665,667
172.16.133.99:56156 -> 216.219.118.244:443,60
172.16.133.87:60326 -> 172.16.139.250:5440,126
176.32.96.31:80 -> 172.16.133.54:64798,60
172.16.133.116:53651 -> 172.16.139.250:5440,391
157.56.241.150:443 -> 172.16.133.78:49314,60
108.170.193.53:80 -> 172.16.133.54:64860,60
172.16.133.35:50066 -> 172.16.139.250:5440,60
172.16.133.116:53652 -> 172.16.139.250:5440,60
108.170.193.53:80 -> 172.16.133.54:64862,60
172.16.133.116:53653 -> 172.16.139.250:5440,120
172.16.133.54:64862 -> 108.170.193.53:80,60
172.16.133.132:57514 -> 54.243.66.79:80,140
172.16.133.54:64864 -> 108.170.193.53:80,60
172.16.133.54:64873 -> 64.215.255.57:80,66
172.16.133.82:61508 -> 64.56.203.22:443,490
172.16.133.132:41040 -> 199.27.208.20:80,923
54.243.66.79:80 -> 172.16.133.132:57514,74
172.16.133.54:64872 -> 108.170.193.53:80,1534
172.16.133.49:55886 -> 172.16.139.250:5440,186
172.16.133.54:64875 -> 63.146.126.10:80,66
172.16.133.248:161 -> 172.16.128.169:4673,123
199.27.208.20:80 -> 172.16.133.132:41043,11372
199.27.208.20:80 -> 172.16.133.132:41041,5656
64.56.203.22:443 -> 172.16.133.82:61506,803
173.194.43.58:80 -> 172.16.133.54:64436,542
172.16.133.95:57061 -> 172.16.139.250:5440,120
172.16.133.92:57774 -> 172.16.139.250:5440,180
172.16.133.29:61059 -> 172.16.139.250:5440,445
172.16.133.126:61922 -> 96.43.149.26:443,120
172.16.133.126:61928 -> 23.33.47.60:443,388
172.16.133.126:61924 -> 70.42.13.101:443,423
172.16.133.207:56024 -> 172.16.139.250:5440,120
172.16.133.83:57182 -> 172.16.139.250:5440,126
64.56.203.22:443 -> 172.16.133.82:61508,2361
172.16.133.93:60851 -> 172.16.139.250:5440,180
66.235.146.171:443 -> 172.16.133.126:61918,1574
23.33.47.60:443 -> 172.16.133.126:61928,396
172.16.133.11:55245 -> 172.16.139.250:5440,180
70.42.13.101:443 -> 172.16.133.126:61924,1434
172.16.133.55:57724 -> 172.16.139.250:5440,126
70.42.13.101:443 -> 172.16.133.126:61923,789
172.16.133.132:38367 -> 23.32.181.109:80,206
172.16.133.53:54210 -> 172.16.139.250:5440,120
172.16.133.126:61927 -> 23.33.47.60:443,328
172.16.133.21:53285 -> 172.16.139.250:5440,451
172.16.133.30:62747 -> 172.16.139.250:5440,60
172.16.133.126:61923 -> 70.42.13.101:443,368
172.16.133.73:60783 -> 172.16.139.250:5440,325
172.16.133.11:55244 -> 157.56.236.89:443,66
172.16.133.34:50533 -> 172.16.139.250:5440,246
172.16.133.20:55134 -> 173.194.68.125:5222,273
209.190.70.254:80 -> 172.16.133.54:64869,577
172.16.133.71:55162 -> 108.160.161.163:80,66
23.32.181.109:80 -> 172.16.133.132:38366,236
172.16.133.33:57994 -> 172.16.139.250:5440,120
172.16.133.126:61925 -> 70.42.13.101:443,736
172.16.133.97:59485 -> 172.16.139.250:5440,60
172.16.133.68:60851 -> 172.16.139.250:5440,120
172.16.133.12:59873 -> 172.16.139.250:5440,66
172.16.133.126:61921 -> 96.43.149.26:443,1474
172.16.133.66:53998 -> 172.16.139.250:5440,590
172.16.133.37:60717 -> 172.16.139.250:5440,120
172.16.133.54:64824 -> 173.194.43.45:80,120
23.32.181.109:80 -> 172.16.133.132:38367,66
209.190.70.254:80 -> 172.16.133.54:64870,120
172.16.133.109:49151 -> 68.87.152.185:65202,1506
172.16.133.54:64870 -> 209.190.70.254:80,60
172.16.133.54:64622 -> 174.129.2.251:80,861
172.16.133.78:59322 -> 172.16.139.250:5440,265
74.125.226.222:443 -> 172.16.133.82:61258,289
23.22.135.102:443 -> 172.16.133.82:61501,91
172.16.133.67:56091 -> 172.16.139.250:5440,60
23.33.47.60:443 -> 172.16.133.126:61926,536
204.232.250.57:443 -> 172.16.133.82:61510,126
157.56.245.198:443 -> 172.16.133.33:57995,146
173.194.43.57:80 -> 172.16.133.132:47040,502
172.16.133.126:59261 -> 96.43.146.22:443,1308
172.16.133.132:38365 -> 23.32.181.109:80,1848
172.16.133.41:53239 -> 172.16.139.250:5440,132
64.56.203.22:443 -> 172.16.133.82:61507,60
96.43.149.26:443 -> 172.16.133.126:61921,120
64.56.203.22:443 -> 172.16.133.82:61480,1494
172.16.133.42:57217 -> 172.16.139.250:5440,385
172.16.133.132:47290 -> 204.13.194.191:80,132
172.16.133.121:56574 -> 23.61.18.110:443,60
172.16.133.43:57874 -> 172.16.139.250:5440,60
157.56.236.102:443 -> 172.16.133.41:65162,120
172.16.133.85:52367 -> 172.16.139.250:5440,60
204.13.194.191:80 -> 172.16.133.132:47290,132
172.16.133.13:53131 -> 172.16.139.250:5440,66
172.16.133.126:61920 -> 96.43.149.26:443,1030
173.252.110.27:80 -> 172.16.133.132:37015,74
193.149.47.98:80 -> 172.16.133.132:54945,1878
172.16.133.75:51070 -> 172.16.139.250:5440,60
96.43.149.26:443 -> 172.16.133.126:61920,2661
172.16.133.28:49215 -> 172.16.139.250:5440,60
172.16.133.132:47292 -> 204.13.194.191:80,66
204.13.194.191:80 -> 172.16.133.132:47292,744
172.16.133.207:56025 -> 199.16.156.8:80,996
172.16.133.25:63581 -> 172.16.139.250:5440,530
96.43.146.176:443 -> 172.16.133.26:52835,60
172.16.133.116:53655 -> 172.16.139.250:5440,132
64.74.103.175:80 -> 172.16.139.250:1606,182
172.16.133.54:64877 -> 209.190.70.254:80,126
172.16.133.84:58895 -> 172.16.139.250:5440,60
204.13.194.191:80 -> 172.16.133.132:47293,950
172.16.133.35:50067 -> 172.16.139.250:5440,120
96.43.146.48:443 -> 172.16.133.25:63560,483
172.16.133.54:64344 -> 173.194.43.47:443,246
172.16.133.252:161 -> 172.16.128.169:4719,129
173.252.110.27:80 -> 172.16.133.132:37013,2063
172.16.133.132:37013 -> 173.252.110.27:80,330
172.16.133.132:47979 -> 98.138.49.43:80,2220
172.16.133.54:64879 -> 205.210.187.119:80,1514
172.16.133.95:57062 -> 172.16.139.250:5440,385
172.16.133.92:57775 -> 172.16.139.250:5440,66
209.190.70.254:80 -> 172.16.133.54:64877,60
205.210.187.119:80 -> 172.16.133.54:64879,1694
172.16.133.44:64929 -> 172.16.139.250:5440,331
204.13.194.137:80 -> 172.16.133.54:64714,3139
76.13.234.33:80 -> 172.16.133.132:59415,60
172.16.133.83:57183 -> 172.16.139.250:5440,650
172.16.133.132:34677 -> 63.135.90.138:80,60
64.94.107.58:80 -> 172.16.133.132:35101,1514
172.16.133.207:56026 -> 172.16.139.250:5440,120
172.16.133.11:55246 -> 172.16.139.250:5440,120
172.16.133.54:64874 -> 63.146.126.10:80,60
172.16.128.202:53 -> 172.16.133.54:57275,103
63.135.90.138:80 -> 172.16.133.132:34677,120
172.16.133.54:64492 -> 23.21.81.234:80,1514
172.16.133.30:62749 -> 172.16.139.250:5440,66
173.194.43.45:80 -> 172.16.133.28:65039,132
172.16.133.21:53286 -> 172.16.139.250:5440,325
172.16.133.25:63582 -> 172.16.139.250:5440,246
172.16.133.73:60784 -> 172.16.139.250:5440,60
172.16.133.113:55657 -> 172.16.139.250:5462,222
172.16.133.34:50534 -> 172.16.139.250:5440,120
172.16.133.54:64882 -> 205.210.187.119:80,66
208.47.254.81:80 -> 172.16.133.54:64359,120
172.16.133.132:50372 -> 184.172.28.153:80,560
205.210.187.119:80 -> 172.16.133.54:64882,126
172.16.133.33:57996 -> 172.16.139.250:5440,265
96.43.146.176:443 -> 172.16.133.92:57509,60
184.172.28.153:80 -> 172.16.133.132:50372,511
157.56.240.102:443 -> 172.16.133.99:52171,95
96.43.146.22:443 -> 172.16.133.92:57512,60
96.43.146.22:443 -> 172.16.133.97:59487,183
172.16.133.68:60852 -> 172.16.139.250:5440,66
172.16.133.66:50006 -> 172.16.139.250:5462,60
172.16.133.12:59874 -> 172.16.139.250:5440,325
172.16.133.66:53999 -> 172.16.139.250:5440,126
216.221.224.26:80 -> 172.16.133.30:62748,60
172.16.133.30:62748 -> 216.221.224.26:80,60
172.16.133.54:64841 -> 69.172.216.156:80,120
69.172.216.156:80 -> 172.16.133.54:64841,2517
216.219.120.244:443 -> 172.16.133.118:58222,60
172.16.133.56:61530 -> 208.111.135.60:80,126
172.16.133.56:61528 -> 208.111.135.60:80,1514
209.190.70.254:80 -> 172.16.133.54:64884,1634
172.16.133.34:50522 -> 173.194.41.111:80,515
208.111.135.60:80 -> 172.16.133.56:61527,120
208.111.135.60:80 -> 172.16.133.56:61531,60
208.111.135.60:80 -> 172.16.133.56:61530,218
172.16.133.118:58222 -> 216.219.120.244:443,60
172.16.133.132:50713 -> 23.21.65.96:80,206
23.21.65.96:80 -> 172.16.133.132:50713,66
172.16.133.67:56092 -> 172.16.139.250:5440,180
172.16.133.33:57997 -> 157.56.245.198:443,60
172.16.133.56:61533 -> 172.16.139.250:5440,60
172.16.133.121:56623 -> 184.169.137.94:443,60
172.16.133.41:53240 -> 172.16.139.250:5440,60
172.16.133.54:64888 -> 69.172.216.156:80,60
172.16.133.42:57218 -> 172.16.139.250:5440,66
172.16.133.54:64887 -> 69.172.216.156:80,60
172.16.133.132:47299 -> 204.13.194.191:80,66
172.16.133.85:52368 -> 172.16.139.250:5440,126
172.16.133.6:60131 -> 8.8.8.8:53,82
172.16.133.13:53132 -> 172.16.139.250:5440,60
172.16.133.78:53253 -> 96.43.146.22:443,2494
69.172.216.156:80 -> 172.16.133.54:64886,60
172.16.133.75:51071 -> 172.16.139.250:5440,590
172.16.133.28:49216 -> 172.16.139.250:5440,60
172.16.133.35:49685 -> 96.43.146.178:443,60
172.16.133.35:49697 -> 64.56.203.22:443,60
172.16.133.35:49690 -> 96.43.146.22:443,60
172.16.128.233:55267 -> 172.16.133.233:22,748
172.16.133.76:61765 -> 96.43.146.22:443,60
172.16.133.87:60328 -> 172.16.139.250:5440,60
172.16.133.116:53657 -> 172.16.139.250:5440,126
172.16.133.116:53658 -> 172.16.139.250:5440,60
172.16.133.54:64889 -> 157.56.134.97:80,66
172.16.133.84:58896 -> 172.16.139.250:5440,60
172.16.133.116:53659 -> 172.16.139.250:5440,120
96.43.146.178:443 -> 172.16.133.35:49683,60
96.43.146.178:443 -> 172.16.133.35:49682,60
50.19.123.188:443 -> 172.16.133.153:38469,132
172.16.133.132:42703 -> 108.168.136.156:443,458
108.168.136.156:443 -> 172.16.133.132:42703,1514
172.16.133.78:59312 -> 173.252.71.6:54083,62
172.16.133.49:55888 -> 172.16.139.250:5440,180
157.56.134.97:80 -> 172.16.133.54:64889,1574
172.16.133.92:57776 -> 172.16.139.250:5440,331
172.16.133.12:50693 -> 157.56.242.198:443,186
172.16.133.29:61061 -> 172.16.139.250:5440,265
172.16.133.44:64930 -> 172.16.139.250:5440,60
172.16.133.132:47722 -> 54.243.108.184:80,66
172.16.133.66:53903 -> 93.184.216.139:443,60
172.16.133.83:57184 -> 172.16.139.250:5440,325
172.16.133.93:60853 -> 172.16.139.250:5440,60
172.16.133.11:55247 -> 172.16.139.250:5440,265
172.16.133.53:54212 -> 172.16.139.250:5440,66
172.16.133.21:53287 -> 172.16.139.250:5440,126
172.16.133.132:46890 -> 23.33.44.79:80,66
172.16.133.25:63583 -> 172.16.139.250:5440,265
172.16.133.34:50535 -> 172.16.139.250:5440,60
96.43.146.22:443 -> 172.16.133.114:55313,365
172.16.133.33:57998 -> 172.16.139.250:5440,60
172.16.133.68:60853 -> 172.16.139.250:5440,120
172.16.133.132:45930 -> 23.67.242.73:80,198
172.16.133.132:38366 -> 23.32.181.109:80,66
172.16.133.63:53986 -> 172.16.139.250:5440,265
172.16.133.66:54000 -> 172.16.139.250:5440,60
172.16.133.82:61512 -> 172.16.139.250:5440,120
23.67.242.73:80 -> 172.16.133.132:45930,7412
172.16.133.37:60719 -> 172.16.139.250:5440,265
172.16.133.45:61373 -> 64.90.204.229:443,284
172.16.133.132:58239 -> 208.47.254.25:80,66
157.56.238.6:443 -> 172.16.133.21:54060,240
216.221.224.26:80 -> 172.16.133.30:62750,1429
172.16.133.30:62750 -> 216.221.224.26:80,249
64.90.204.229:443 -> 172.16.133.45:61373,120
64.90.204.229:443 -> 172.16.133.45:61368,583
